Lattice Size (NxN),Total Steps,Steps Used in Analysis,Burnin Steps,Interaction Strength,Applied Mag Field,Spin Prop
100,100000,50000,0,1.0,0.0,0.1

Temperature,K,Spatial Spin Correlation
2.0,1,0.0005423686816357076
2.0,2,0.00014873055624775589
2.0,3,5.942029929428827e-06
2.0,4,-1.8159269529860467e-05
2.0,5,-3.953320629079826e-05
2.0,6,-4.8320944188162684e-05
2.0,7,-3.468486465862952e-05
2.0,8,-2.8745163945131935e-05
2.0,9,-3.817977267317474e-05
2.0,10,-4.521003575064242e-05
2.0,11,-4.458371040527709e-05
2.0,12,-3.5452525480650365e-05
2.0,13,-3.0220415283110924e-05
2.0,14,-2.0967421733075753e-05
2.0,15,-1.733069439069368e-05
2.0,16,-1.2765054634655826e-05
2.0,17,-2.7250214770901948e-05
2.0,18,-4.1472525481367484e-05
2.0,19,-5.8179692132398486e-05
2.0,20,-5.955336746410467e-05
2.0,21,-4.6260534872999415e-05
2.0,22,-2.6906567654805258e-05
2.0,23,-3.613928856793791e-05
2.0,24,-5.0543243560241535e-05
2.0,25,-5.6563480029581115e-05
2.0,26,-4.322994936956093e-05
2.0,27,-5.005822822568007e-05
2.0,28,-2.6361129130236804e-05
2.0,29,-4.106825508642942e-05
2.0,30,-3.672482489491813e-05
2.0,31,-3.838155680568889e-05
2.0,32,-3.14118224196136e-05
2.0,33,-2.640202728798613e-05
2.0,34,-1.6482674254802987e-05
2.0,35,-5.068052814749535e-06
2.0,36,-6.640345873165643e-07
2.0,37,-3.1391900847665966e-05
2.0,38,-3.731104152393527e-05
2.0,39,-5.1614053518278524e-05
2.0,40,-4.9997863243333995e-05
2.0,41,-8.036194776650518e-05
2.0,42,-5.720997432945296e-05
2.0,43,-3.5088789445580915e-05
2.0,44,-4.686659303843044e-05
2.0,45,-3.94724374928046e-05
2.0,46,-3.961382753914222e-05
2.0,47,-3.888653009198606e-05
2.0,48,-2.1633895812556148e-05
2.0,49,-2.733105247898493e-05
2.1,1,0.0005423686816357076
2.1,2,0.00014873055624775589
2.1,3,5.942029929428827e-06
2.1,4,-1.8159269529860467e-05
2.1,5,-3.953320629079826e-05
2.1,6,-4.8320944188162684e-05
2.1,7,-3.468486465862952e-05
2.1,8,-2.8745163945131935e-05
2.1,9,-3.817977267317474e-05
2.1,10,-4.521003575064242e-05
2.1,11,-4.458371040527709e-05
2.1,12,-3.5452525480650365e-05
2.1,13,-3.0220415283110924e-05
2.1,14,-2.0967421733075753e-05
2.1,15,-1.733069439069368e-05
2.1,16,-1.2765054634655826e-05
2.1,17,-2.7250214770901948e-05
2.1,18,-4.1472525481367484e-05
2.1,19,-5.8179692132398486e-05
2.1,20,-5.955336746410467e-05
2.1,21,-4.6260534872999415e-05
2.1,22,-2.6906567654805258e-05
2.1,23,-3.613928856793791e-05
2.1,24,-5.0543243560241535e-05
2.1,25,-5.6563480029581115e-05
2.1,26,-4.322994936956093e-05
2.1,27,-5.005822822568007e-05
2.1,28,-2.6361129130236804e-05
2.1,29,-4.106825508642942e-05
2.1,30,-3.672482489491813e-05
2.1,31,-3.838155680568889e-05
2.1,32,-3.14118224196136e-05
2.1,33,-2.640202728798613e-05
2.1,34,-1.6482674254802987e-05
2.1,35,-5.068052814749535e-06
2.1,36,-6.640345873165643e-07
2.1,37,-3.1391900847665966e-05
2.1,38,-3.731104152393527e-05
2.1,39,-5.1614053518278524e-05
2.1,40,-4.9997863243333995e-05
2.1,41,-8.036194776650518e-05
2.1,42,-5.720997432945296e-05
2.1,43,-3.5088789445580915e-05
2.1,44,-4.686659303843044e-05
2.1,45,-3.94724374928046e-05
2.1,46,-3.961382753914222e-05
2.1,47,-3.888653009198606e-05
2.1,48,-2.1633895812556148e-05
2.1,49,-2.733105247898493e-05
2.1,1,0.000907481589820236
2.1,2,0.0003570175322238356
2.1,3,0.00015201506903395057
2.1,4,4.345040724729188e-05
2.1,5,-4.286350304028019e-06
2.1,6,-1.400330711476272e-05
2.1,7,-3.820528581854887e-05
2.1,8,-7.448990072589368e-05
2.1,9,-6.810579361626878e-05
2.1,10,-0.00010384629422333091
2.1,11,-9.216702164849266e-05
2.1,12,-5.43883943464607e-05
2.1,13,-8.653195982333273e-05
2.1,14,-6.984479841776192e-05
2.1,15,-7.414742140099406e-05
2.1,16,-6.44088868284598e-05
2.1,17,-5.297409734339453e-05
2.1,18,-6.29742571618408e-05
2.1,19,-5.96004756516777e-05
2.1,20,-6.691442104056478e-05
2.1,21,-5.7357890909770504e-05
2.1,22,-9.93393114185892e-05
2.1,23,-0.00010053131700260565
2.1,24,-6.558039603987709e-05
2.1,25,-6.232788291526958e-05
2.1,26,-6.808564648963511e-05
2.1,27,-7.485319656552747e-05
2.1,28,-8.929857722250745e-05
2.1,29,-7.919684867374599e-05
2.1,30,-4.618593811756e-05
2.1,31,-3.0589511879952624e-05
2.1,32,-3.1842162570683286e-05
2.1,33,-7.498077593481867e-06
2.1,34,-3.7438792787725106e-05
2.1,35,-3.230662696296349e-05
2.1,36,-6.204526289366186e-05
2.1,37,-6.499490700662136e-05
2.1,38,-8.972323121270165e-05
2.1,39,-0.0001021890202537179
2.1,40,-9.182430221699178e-05
2.1,41,-6.648957059951499e-05
2.1,42,-5.24888419022318e-05
2.1,43,-8.392521704081446e-05
2.1,44,-6.535882857860997e-05
2.1,45,-7.667259342269972e-05
2.1,46,-5.046891237725504e-05
2.1,47,-2.269021024403628e-05
2.1,48,-5.34388491360005e-05
2.1,49,-6.671262963209301e-05
