Lattice Size (NxN),Total Steps,Steps Used in Analysis,Burnin Steps,Interaction Strength,Applied Mag Field,Spin Prop
20,100000,50000,0,1.0,0.0,0.1

Temperature,K,Spatial Spin Correlation
2.0,1,0.00319342105263
2.0,2,0.000825
2.0,3,-0.000964473684211
2.0,4,-0.000938157894737
2.0,5,-0.00129342105263
2.0,6,-0.00155657894737
2.0,7,-0.00184605263158
2.0,8,-0.00137236842105
2.0,9,-0.00185921052632
2.3000000000000003,1,0.00670394736842
2.3000000000000003,2,0.00248026315789
2.3000000000000003,3,-0.000480263157895
2.3000000000000003,4,-0.00225657894737
2.3000000000000003,5,-0.00313815789474
2.3000000000000003,6,-0.00349342105263
2.3000000000000003,7,-0.00329605263158
2.3000000000000003,8,-0.00280921052632
2.3000000000000003,9,-0.00209868421053
2.2,1,0.00123289473684
2.2,2,-0.000925
2.2,3,-0.00113552631579
2.2,4,-0.000359210526316
2.2,5,-0.000819736842105
2.2,6,-0.00131973684211
2.2,7,-0.00166184210526
2.2,8,-0.000872368421053
2.2,9,-3.94736842105e-06
2.1,1,0.000580263157895
2.1,2,-0.000709210526316
2.1,3,-0.000748684210526
2.1,4,-0.000643421052632
2.1,5,-0.000498684210526
2.1,6,-0.000472368421053
2.1,7,-0.000459210526316
2.1,8,-0.000761842105263
2.1,9,-0.000406578947368
2.4000000000000004,1,0.00837631578947
2.4000000000000004,2,0.00329736842105
2.4000000000000004,3,0.000165789473684
2.4000000000000004,4,-0.00315
2.4000000000000004,5,-0.00461052631579
2.4000000000000004,6,-0.00391315789474
2.4000000000000004,7,-0.00400526315789
2.4000000000000004,8,-0.00245263157895
2.4000000000000004,9,-0.00295263157895
2.5000000000000004,1,0.0152184210526
2.5000000000000004,2,0.00629736842105
2.5000000000000004,3,0.00267894736842
2.5000000000000004,4,-0.00155789473684
2.5000000000000004,5,-0.00421578947368
2.5000000000000004,6,-0.00542631578947
2.5000000000000004,7,-0.0074
2.5000000000000004,8,-0.00892631578947
2.5000000000000004,9,-0.00899210526316
2.6000000000000005,1,0.0165671052632
2.6000000000000005,2,0.00860657894737
2.6000000000000005,3,0.00317236842105
2.6000000000000005,4,-0.00184078947368
2.6000000000000005,5,-0.00441973684211
2.6000000000000005,6,-0.00759078947368
2.6000000000000005,7,-0.00928815789474
2.6000000000000005,8,-0.0100776315789
2.6000000000000005,9,-0.0121828947368
